pool_slot,changeout_week,equipo,component_serial,changeout_date,arrival_week,pool_changeout_type,component_code
9,2024-W31,397,#86K2422,2024-07-29,2024-W38,P,cd
10,2023-W34,876,#EE13080690,2023-08-21,2023-W48,I,bp
10,2023-W34,858,#73LB-36,2023-08-21,2023-W41,P,cd
10,2023-W40,875,#005,2023-10-02,2024-W3,I,cms
10,2023-W50,867,#EE06040239,2023-12-11,2024-W5,P,bp
10,2024-W4,873,#122,2024-01-22,2024-W14,I,cms
10,2024-W7,857,#231-1,2024-02-12,2024-W25,I,st
10,2024-W9,877,#WX14080032T,2024-02-26,2024-W28,I,mt
10,2024-W13,869,#173,2024-03-25,2024-W24,P,cl
10,2024-W15,399,#EE11050262,2024-04-08,2024-W22,P,bp
10,2024-W15,864,#EMWH0337,2024-04-08,2024-W22,P,cd
10,2024-W15,878,#205,2024-04-08,2024-W27,I,cms
10,2024-W28,862,#201,2024-07-08,2024-W46,I,cms
10,2024-W30,849,#WX15030003T,2024-07-22,2024-W41,P,mt
10,2024-W31,397,#EMTB037,2024-07-29,2024-W45,I,cd
11,2023-W34,882,#EE14080990,2023-08-21,2023-W48,I,bp
11,2023-W36,854,#EMVD277,2023-09-04,2023-W43,P,cd
11,2023-W41,851,#108,2023-10-09,2024-W5,I,cms
11,2024-W1,860,#EE13060826,2024-01-01,2024-W15,I,bp
11,2024-W6,848,#185,2024-02-05,2024-W17,I,cms
11,2024-W9,854,#EK8138,2024-02-26,2024-W27,I,st
11,2024-W13,878,#W08040005,2024-03-25,2024-W32,I,mt
11,2024-W14,866,#131-1,2024-04-01,2024-W33,I,cl
11,2024-W16,867,#EE06040201,2024-04-15,2024-W23,P,bp
11,2024-W17,878,#EMXM445,2024-04-22,2024-W30,I,cd
11,2024-W18,864,#105,2024-04-29,2024-W29,I,cms
11,2024-W30,850,#201-1,2024-07-22,2024-W48,I,cms
11,2024-W31,864,#EMWJ361,2024-07-29,2024-W38,P,cd
12,2023-W35,849,#EE14020271,2023-08-28,2023-W49,I,bp
12,2023-W38,872,#EMWL370,2023-09-18,2023-W52,I,cd
