pool_number,cc_week,equipo,component_serial,component_tag,year,week,componente,SUB COMPONENTE,MODELO,POSICION,FECHA DE CAMBIO,HORA EQ,HORA CC,MENOR AL 90% TBO,TBO,USO,DESCRIPCIÓN DE FALLA,SUBCOMPONENTE FALLADO,MODO DE FALLA,Equipo SAP,ORDEN,ID,Reseva,Aviso,N/S INSTALADO,Equipo,Solicitud de montaje,OS,OS 14.000,RMCARE,Pauta puesta servicio(entrante),TSI,No Conformidad,CLASIFICACIÓN,COMENTARIO ENTRANTE,COMENTARIO SALIENTE,Proyeccion Horómetro,% uso Proyectado,pool_type,ohv_normal,ohv_unplanned,cc_date,arrival_date
3,2023-W27,856,#EMYK00482,cd,2023,27,Cilindro Dirección,Cilindro Dirección,960E,DERECHO,2023-07-07,59458,8237,0.0,12000,0.686416666666667,"Se procede a cambio de cilindro de dirección derecho por fuga en vastago, componente es considerado dentro del plan semanal",Fuga Vastago,Fuga por sello vastago,200235524,400352845,230707130047,2563875,10359649,#51-LB24,200136718,82730,18120999,,CERRADA,,,,Producto,,,6392.0,0.532666666666667,I,46,96,2023-07-03,2023-10-07
3,2024-W01,882,#26KF32,cd,2024,01,Cilindro Dirección,Cilindro Dirección,960E,DERECHO,2024-01-01,52965,5677,0.0,12000,0.473083333333333,Se realiza cambio de cilindro dirección derecho por fuga en vastago. Componente no es considerado dentro del plan semanal,Fuga Vastago,Fuga Vastago,200237146,400364367,240116122141,2666923,10367684,#EMVJ297,200221783,86404,18124252,,CERRADO,,,,Producto,,,3366.0,0.2805,I,46,96,2024-01-01,2024-04-06
3,2024-W26,855,#EMYK00476,cd,2024,26,Cilindro Dirección,Cilindro Dirección,960E,IZQUIERDO,2024-06-27,57255,12181,1.0,12000,1.01508333333333,"Se realiza cambio de cilindro de dirección izquierdo por valores en rango medio de rotula al igual componente se encontraba para cambio por su TBO establecido, componente es considerado para cambio en plan semanal W26.",TBO,TBO,200286739,400374005,240629112506,2758122,10375272,#EMXK395,200205181,89852,18127503,,CERRADO,,,,TBO,,,340.0,0.0283333333333333,P,46,96,2024-06-24,2024-08-09
4,2023-W28,849,#60-LB60,cd,2023,28,Cilindro Dirección,Cilindro Dirección,960E,IZQUIERDO,2023-07-12,67232,8909,0.0,12000,0.742416666666667,"Se procede a cambio de cilindro de dirección izquierdo por fuga de aceite hidraulico por vastago, componente es considerado para cambio en plan semanal w28.",Fuga Vastago,Fuga por sello vastago,200136913,400353304,230715184217,2567965,10360024,#EMWH0329,200207304,82827,18121204,,CERRADA,,,,Producto,,,6307.0,0.525583333333333,I,46,96,2023-07-10,2023-10-14
4,2024-W02,398,#EMWL373,cd,2024,02,Cilindro Dirección,Cilindro Dirección,960E,IZQUIERDO,2024-01-12,68850,7461,0.0,12000,0.62175,Se procede a cambio de cilindro de dirección izquierdo por Rotulas de cilindro de direccion fuera de rango. Componente no es considerado para cambio en plan semanal W2.,ROTULA,ROTULA,200210295,400364236,240115114254,2666245,10367665,#EMWB290,200204615,86304,18124265,,CERRADO,,,,Producto,,,3179.0,0.264916666666667,I,46,96,2024-01-08,2024-04-13
4,2024-W26,855,#469,cd,2024,26,Cilindro Dirección,Cilindro Dirección,960E,DERECHO,2024-06-27,57255,8191,0.0,12000,0.682583333333333,"Se realiza cambio cilindro de dirección DERECHO ya que en medición de juego radial de rotula de cilindro dirección se detecto que los valores estan en rango alto, componente es considerado para cambio en plan semanal W26.",ROTULA,ROTULA,200316531,400373957,240629112331,2758204,10375270,#EMYK00485,200235846,89851,18127502,,CERRADO,,,,Producto,,,340.0,0.0283333333333333,I,46,96,2024-06-24,2024-09-28
5,2023-W28,857,#EMXK395,cd,2023,28,Cilindro Dirección,Cilindro Dirección,960E,DERECHO,2023-07-16,60560,7067,0.0,12000,0.588916666666667,"Se procede a cambio cilindro de dirección derecho por fuga de aceite hidraulico por lado vastago, componente no es considerado para cambio en plan semanal W28.",,Fuga por sello vastago,200205181,400353317,230717174400,2568831,10360099,#EMWB294,200204505,82884,18121223,,CERRADA,,,,Producto,,,6239.0,0.519916666666667,I,46,96,2023-07-10,2023-10-14
5,2024-W04,882,#EMXK392,cd,2024,04,Cilindro Dirección,Cilindro Dirección,960E,IZQUIERDO,2024-01-26,53573,6985,0.0,12000,0.582083333333333,"Se procede a cambio de cilindro de dirección por fuga de aceite por vastago en un 25% aprox, componente es considerado para cambio en plan semanal W4.",VASTAGO,FUGA,200209284,400366624,240227100325,2688746,10369704,#EMYK00482,200235524,86964,,,CERRADO,,,,Producto,,,2941.0,0.245083333333333,I,46,96,2024-01-22,2024-04-27
6,2023-W29,866,#EMVW318,cd,2023,29,Cilindro Dirección,Cilindro Dirección,960E,IZQUIERDO,2023-07-22,54740,5670,0.0,12000,0.4725,Se procede a cambiar cilindro dirección izquierdo por fuga en vastago. Componente esconsiderado dentro de plan semanal,Fuga Vastago,Fuga aceite en vastago,200204614,400353598,230724082824,2571783,10360278,#EMWJ354,200180878,82924,18121350,,CERRADA,,,,Producto,,,6137.0,0.511416666666667,I,46,96,2023-07-17,2023-10-21
6,2024-W06,870,#EMYK00487,cd,2024,06,Cilindro Dirección,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,46,96,2024-02-05,2024-05-11
7,2023-W29,869,#EMYK00485,cd,2023,29,Cilindro Dirección,Cilindro Dirección,960E,DERECHO,2023-07-23,53245,11836,1.0,12000,0.986333333333333,Se procede a cambiar cilindro de dirección derecho por TBO. Componente es considerado dentro del plan semanal,TBO,TBO,200235846,400353628,230724084935,2571766,10360286,#EMYK00480,200235847,82928,18121352,,CERRADA,,,,TBO,,,6120.0,0.51,P,46,96,2023-07-17,2023-09-01
7,2024-W06,870,#EMWH340,cd,2024,06,Cilindro Dirección,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,46,96,2024-02-05,2024-05-11
8,2023-W31,847,#EMWB291,cd,2023,31,Cilindro Dirección,Cilindro Dirección,960E,IZQUIERDO,2023-08-02,67133,13033,1.0,12000,1.08608333333333,Se realiza cambio de cilindro de dirección izquierdo por TBO. Componente es considerado dentro del plan semanal,TBO,TBO,200208482,400354442,230803121744,2578031,10360699,#EMWH347,200123929,83023,18121482,,CERRADA,,,,TBO,,,5950.0,0.495833333333333,P,46,96,2023-07-31,2023-09-15
8,2024-W11,881,#67LB23,cd,2024,11,Cilindro Dirección,Cilindro Dirección,960E,DERECHO,2024-03-14,46245,11988,1.0,12000,0.999,Se realiza cambio de cilindro de dirección por TBO. Componente es considerado dentro del plan semanal W11,TBO,TBO,200207267,400367596,240316080748,2699121,10370546,#EMVD277,200195390,87233,18125308,CERRADO,CERRADO,,,,TBO,,,2125.0,0.177083333333333,P,46,96,2024-03-11,2024-04-26
9,2023-W33,873,#EMYA460,cd,2023,33,Cilindro Dirección,Cilindro Dirección,960E,IZQUIERDO,2023-08-18,50051,8268,0.0,12000,0.689,Se realiza cambio de cilindro de dirección por fuga excesiva en vastago. Componente es considerado dentro del plan semanal,Fuga Vastago,Fuga aceite en vastago,200285425,400355440,230819083548,2586143,10361381,#EMYK00484,200236849,83451,18121991,,CERRADA,,,,Producto,,,5678.0,0.473166666666667,I,46,96,2023-08-14,2023-11-18
9,2024-W14,877,#EMXK393,cd,2024,14,Cilindro Dirección,Cilindro Dirección,960E,DERECHO,2024-04-02,53225,11421,1.0,12000,0.95175,Se realiza cambio de cilindro de dirección derecho por TBO. Componente es considerado dentro del plan semanal W14,TBO,TBO,200204406,400368809,240402162625,2709384,10371232,#EMYK00473,200243021,87579,18125652,,CERRADO,,,,TBO,,,1802.0,0.150166666666667,P,46,96,2024-04-01,2024-05-17
10,2023-W34,858,#73LB-36,cd,2023,34,Cilindro Dirección,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,46,96,2023-08-21,2023-11-25
